BreweryName,Address,City ,State,Zipcode,Type,Website
Alliance Brewing Company,1130 Sevier Ave ,Knoxville,TN,37920,Micro,http://www.alliancebrewingco.com
Asgard Brewing Company,105 E 5th St,Columbia,TN,38401,Planning,http://www.alliancebrewingco.com
Balter Beerworks,100 S Broadway,Knoxville ,TN,37902,Planning,http://www.balterbeerworks.com
Bearded Iris Brewing,101 Van Buren St ,Nashville,TN,37208,Micro,http://www.beardedirisbrewing.com
Big River Grille & Brewing Works - Chattanooga,222 Broad St ,Chattanooga,TN,37402,Brewpub,http://www.craftworksrestaurants.com
"Black Abbey Brewing Co, The",2952 Sidco Drive ,Nashville,TN,37204,Micro,http://www.blackabbeybrewing.com
Blackberry Farm Brewery,1471 W Millers Cove Rd ,Walland,TN,37886,Micro,http://www.blackberryfarm.com
Blackhorse Pub and Brewery,132 Franklin St ,Clarksville,TN,37040,Brewpub,http://www.theblackhorsepub.net
Blackhorse Pub and Brewery -  Knoxville,4429 Kingston Pike ,Knoxville,TN,37919,Brewpub,http://www.theblackhorsepub.net
Blackstone Brewery ,2312 Clifton Ave ,Nashville,TN,37209,Micro,http://blackstonebrewery.com
Blues City Brewing Co,5151 E Raines Rd ,Memphis,TN,38118,Regional,http://www.citybrewing.com
Bluetick Brewery,1509 E Broadway Ave ,Maryville,TN,37804,Micro,http://www.bluetickbrewery.com
Boscos Brewing Co. / Ghost River Brewing,827 S Main St ,Memphis,TN,38106,Micro,http://www.ghostriverbrewing.com
Boscos Squared,2120 Madison Ave ,Memphis,TN,38104,Brewpub,http://www.boscosbeer.com
Brewery in Planning - Chattanooga, ,,TN,,Planning,http://www.boscosbeer.com
Brewery in Planning - Chattanooga, ,,TN,,Planning,http://wanderlinger.com
Brewery in Planning - Chattanooga, ,,TN,,Planning,http://wanderlinger.com
Brewery in Planning - Columbia, ,,TN,,Planning,http://www.asgardbrewery.com
Brewery In Planning - Fairview, ,,TN,,Planning,http://www.asgardbrewery.com
Brewery in Planning - Johnson City, ,,TN,,Planning,http://www.somesite.com
Brewery in Planning - Knoxville, ,,TN,,Planning,http://www.somesite.com
Brewery in Planning - Knoxville, ,,TN,,Planning,http://www.somesite.com
Brewery In Planning - Knoxville, ,,TN,,Planning,http://www.somesite.com
Brewery In Planning - Knoxville, ,,TN,,Planning,http://www.somesite.com
Brewery In Planning - Knoxville, ,,TN,,Planning,http://www.somesite.com
Brewery in Planning - Mt Juliet, ,,TN,,Planning,http://www.somesite.com
Brewery in Planning - Murfreesboro, ,,TN,,Planning,http://www.somesite.com
Brewery in Planning - Murfreesboro, ,,TN,,Planning,http://www.somesite.com
Brewery In Planning - Nashville, ,,TN,,Planning,http://www.somesite.com
"Brewery In Planning- Nashville, TN", ,,TN,,Planning,http://www.somesite.com
Calfkiller Brewing Co,1839 Blue Springs Rd ,Sparta,TN,38583,Micro,http://www.calfkillerbeer.com
Chattanooga Brewing Co,1804 Chestnut St. ,Chattanooga,TN,37405,Micro,http://www.chattabrew.com
Cool Springs Brewery,600A Frazier Dr Ste 135 ,Nashville,TN,37067,Brewpub,http://www.coolspringsbrewery.com
Corsair Artisan LLC,1200 Clinton Street #110 ,Nashville,TN,37203,Brewpub,http://www.corsairartisan.com
Brewery in Planning -Crosstown Brewing Company, ,,TN,,Type: Planning,http://www.crosstownbeer.com
Czann's Brewing,505 Lea Ave,Nashville,TN,37209,Micro,http://www.crosstownbeer.com
Depot Street Brewing Co,904 Depot St ,Jonesborough,TN,37659,Micro,http://www.depotstreetbrewing.com
Downtown Grill & Brewery / Woodruff Brewing,424 S Gay St ,Knoxville,TN,37902,Brewpub,http://www.downtownbrewery.com
East Nashville Beer Works,320 E Trinity Ln,Nashville,TN,37207,Planning,http://www.eastnashbeerworks.com
Fat Bottom Brewing,900 Main Street ,Nashville,TN,37206,Micro,http://www.fatbottombrewing.com
Granite City Food & Brewery,1864 W McEwen Dr ,Franklin,TN,37067,Brewpub,http://www.fatbottombrewing.com
Half Batch Brewing,105 Brierfield Way,Hendersonville,TN,37075,Planning,http://www.fatbottombrewing.com
Harding House Brewing Company,5025 Harding Pike,Nashville,TN,37205,Planning,http://www.hardinghousebrew.com
High Cotton Brewing,598 Monroe Ave ,Memphis,TN,38103,Micro,http://www.highcottonbrewing.com
Holston River Brewing Company,2623 Volunteer Parkway ,Bristol,TN,37620,Micro,http://www.hrbrewing.com
Honky Tonk Brewing Co,240 Cumberland Bend ,Nashville,TN,37214,Micro,http://www.hrbrewing.com
Hutton & Smith Brewing Company,431 E Martin Luther King Blvd # 120 ,Chattanooga,TN,37403,Micro,http://www.hrbrewing.com
