
U.S. President,,,11 of 11 Precincts Reported
Hillary Clinton,Democratic,799,40.745%
Henry Hewes,Democratic,0,0.000%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,"1,153",58.797%
Keith Judd,Democratic,1,0.051%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,1,0.051%
Uncommitted,Democratic,7,0.357%
,Party Total:,"1,961",
,,,
Chris Christie,Republican,3,0.086%
Jeb Bush,Republican,16,0.460%
Ben Carson,Republican,34,0.978%
Donald J. Trump,Republican,"1,404",40.391%
Marco Rubio,Republican,299,8.602%
Ted Cruz,Republican,"1,164",33.487%
Rick Santorum,Republican,1,0.029%
Carly Fiorina,Republican,3,0.086%
John R. Kasich,Republican,513,14.758%
Rand Paul,Republican,7,0.201%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,21,0.604%
Uncommitted,Republican,11,0.316%
,Party Total:,"3,476",
,,,
Austin Petersen,Libertarian,2,25.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,2,25.000%
Uncommitted,Libertarian,4,50.000%
,Party Total:,8,
,,,
Uncommitted,Constitution,2,100.000%
,Total Votes:,"5,447",
,,,

U.S. President,,,20 of 20 Precincts Reported
Hillary Clinton,Democratic,498,39.936%
Henry Hewes,Democratic,0,0.000%
"Roque ""Rocky"" De La Fuente",Democratic,1,0.080%
Bernie Sanders,Democratic,728,58.380%
Keith Judd,Democratic,2,0.160%
Willie L. Wilson,Democratic,2,0.160%
Martin J. O'Malley,Democratic,1,0.080%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,3,0.241%
Uncommitted,Democratic,12,0.962%
,Party Total:,"1,247",
,,,
Chris Christie,Republican,14,0.401%
Jeb Bush,Republican,18,0.515%
Ben Carson,Republican,43,1.231%
Donald J. Trump,Republican,"1,457",41.700%
Marco Rubio,Republican,221,6.325%
Ted Cruz,Republican,"1,290",36.920%
Rick Santorum,Republican,3,0.086%
Carly Fiorina,Republican,5,0.143%
John R. Kasich,Republican,404,11.563%
Rand Paul,Republican,8,0.229%
Jim Lynch,Republican,1,0.029%
Mike Huckabee,Republican,16,0.458%
Uncommitted,Republican,14,0.401%
,Party Total:,"3,494",
,,,
Austin Petersen,Libertarian,1,50.000%
Steven Elliott (Steve) Kerbel,Libertarian,1,50.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,0,0.000%
,Party Total:,2,
,,,
Uncommitted,Constitution,0,0.000%
,Total Votes:,"4,743",
,,,

U.S. President,,,6 of 6 Precincts Reported
Hillary Clinton,Democratic,141,44.479%
Henry Hewes,Democratic,0,0.000%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,173,54.574%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,1,0.315%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,2,0.631%
,Party Total:,317,
,,,
Chris Christie,Republican,0,0.000%
